,job_title,company,location,salary
22,Data Scientist,Research Foundation of The City University of New...,New York,85000.0
23,Data Scientist,New York City DEPARTMENT OF TRANSPORTATION,New York,73873.5
127,Data Scientist,New York City DEPARTMENT OF INVESTIGATION,New York,60172.0
136,Special Assistant (working title: Research Data Officer 1 –...,,New York,64000.0
173,Senior Data Scientist,MetroPlus Health Plan,New York,107500.0
183,"Data Scientist, Office of Talent Research and Data (ORD)",New York City Department of Education .,New York,70370.0
185,Cyber Data Engineer,New York City DEPT OF INFO TECH & TELECOMM,New York,83250.0
299,"Senior Data Analyst M/WBE, Enterprise Data Services",,New York,72500.0
320,"Supervisory Survey Statistician (Regional Survey Manager), G...",US Department of Commerce,New York,88191.0
371,Senior Counsel for Telecommunications/Artificial Intelligenc...,New York City LAW DEPARTMENT,New York,132630.5
471,Data Scientist - Work with Analytics and Engineering,Jobspring,New York,275000.0
570,Power BI Developer / Lake Success / Long Island,Workbridge,New York,155000.0
571,Data Engineer - Working on Data Science Team,Jobspring,New York,275000.0
581,Senior Data Engineer / AI Software,Workbridge,New York,160000.0
626,"Data Science Instructor, Principal Data Scientist",Galvanize Inc,New York,125000.0
665,VP Data Science,CreditRiskMonitor,New York,175000.0
1111,Senior Datashare Data Engineer,New York City DEPT OF INFO TECH & TELECOMM,New York,139000.0
1120,Data Engineer / NYC,Workbridge,New York,175000.0
1133,Junior Data Engineer- Mission Driven,Jobspring,New York,97500.0
1136,Data Engineer / Python,Workbridge,New York,130000.0
1137,Senior Data Engineer,Workbridge,New York,150000.0
1139,Data Engineer,Jobspring,New York,165000.0
1144,Deputy Director of Analytics (Data Product & Research),New York City TAXI & LIMOUSINE COMMISSION,New York,67107.5
1150,Mid Level Data Engineer - Interest in Finance!,Jobspring,New York,140000.0
1156,Senior Java/Data Engineer,Jobspring,New York,157500.0
1157,Mid-Level Data Engineer at Travel Company,Jobspring,New York,132500.0
1160,Junior Data Engineer/Data Analyst working in Education,Jobspring,New York,95000.0
1162,Senior Data Engineer / Python / MySQL / Redshift,Workbridge,New York,145000.0
1166,Mid to Senior Level Data Engineer at Healthtech Startup,Jobspring,New York,155000.0
1167,Senior Data Engineer at Brooklyn Real Estate Startup,Jobspring,New York,132500.0
1177,Data Engineer,,New York,125000.0
