,job_title,company,location,salary
0,Data Scientist Intern,The New York Times,New York,
1,Data Scientist,,New York,
2,Data Analyst/Data Scientist - Raleigh NC,Prospect 33,New York,
3,Data Scientist,Source Enterprises,New York,
4,Staff Data Scientist,Bluecore,New York,
5,Data Scientist (Acquisition),Dow Jones,New York,
6,Data Scientist - Uber Eats (NYC),Uber,New York,
7,Data Scientist - Trello,Atlassian,New York,
8,"Data Scientist, Performance Analytics",Marina Maher Communications,New York,
9,Data Scientist I,Paychex Inc.,New York,
10,Data Scientist,Amazon.com Services LLC,New York,
11,Data Scientist,Mount Sinai,New York,
12,Associate Data Scientist SNKRS,Nike,New York,
13,Associate Data Scientist,,New York,
14,"Data Scientist, Analytics (University Grad)",Facebook,New York,
15,Principal Data Scientist,Bluecore,New York,
16,Data Scientist,StreetEasy,New York,
17,Data Scientist,Kaplan,New York,
18,Data Scientist,DISH Network,New York,
19,Associate Data Scientist,Macmillan Publishers,New York,
20,"Data Scientist, Analytics, Intern",Facebook,New York,
21,Data Scientist,Cornell University,New York,
22,Data Scientist,Research Foundation of The City University of New...,New York,"$60,000 - $110,000 a year"
23,Data Scientist,New York City DEPARTMENT OF TRANSPORTATION,New York,"$57,691 - $90,056 a year"
24,Data Scientist,,New York,
25,Senior Data Scientist,,New York,
26,"Data Scientist Intern, Analytics (PhD)",Facebook,New York,
27,Data Scientist,,New York,
28,Data Scientist (BCMA),CITI,New York,
29,Data Scientist,"Bertelsmann, Inc.",New York,
30,Data Scientist,,New York,
31,Healthcare Data Scientist,Milliman,New York,
32,"Specialist, Data Scientist, Sales Excellence",MasterCard,New York,
33,"Data Scientist, Product Analytics",Facebook,New York,
34,Data Scientist,Movado Group Inc,New York,
35,Data Scientist - Forecasting,Amazon.com Services LLC,New York,
36,"Data Scientist - Tech Re-Entry - Armonk, NY",IBM,New York,
37,"Data Scientist, Marketplace",Spotify,New York,
38,Data Scientist,Capgemini,New York,
39,Senior Manager - NLP Data Scientist,American Express,New York,
40,"Data Scientist, Music Analytics",Spotify,New York,
41,Data Scientist: Venn Engineering,"Two Sigma Investments, LLC.",New York,
42,Data Scientist,Plug Power Inc,New York,
43,Data Scientist,"Two Sigma Investments, LLC.",New York,
44,Data Analyst,"World Wide Technology, Inc.",New York,
45,Data Scientist,PepsiCo,New York,
46,Data Scientist,,New York,
47,Data Scientist,,New York,
48,CIMD - Marcus by Goldman Sachs - Data Scientist,Goldman Sachs,New York,
49,Junior Data Scientist,IHS Markit,New York,
50,Senior Manager - NLP Data Scientist,American Express,New York,
51,Data Scientist,Movado Group Inc,New York,
52,Data Scientist: Venn Engineering,"Two Sigma Investments, LLC.",New York,
53,Data Analyst / Data Scientist,,New York,
54,Data Scientist,University of Rochester,New York,
55,Senior Lab Data Analyst,Icon plc,New York,
56,Data Scientist,,New York,
57,Data Science Intern,BuzzFeed,New York,
58,Data Scientist (Associate),Columbia University,New York,
59,"Data Scientist, Analytics (PhD)",Facebook,New York,
60,Data Scientist Intern,Ortho Clinical Diagnostics,New York,
61,Data Scientist,AETNA,New York,
62,Data Scientist,,New York,
63,Sr. Data Scientist,Mediaocean,New York,
64,"Data Scientist, Chief Analytics Office",IBM,New York,
65,Senior Data Scientist,NBCUniversal,New York,
66,Data Scientist,"Canon U.S.A., Inc.",New York,
67,Data Scientist,Vettery,New York,
68,Data Scientist - Nationwide Opportunities,"Amazon Web Services, Inc.",New York,
69,2020 PhD University Graduate - Data Scientist - Uber Eats (N...,Uber,New York,
70,PRINCIPAL DATA SCIENTIST,"Foot Locker, Inc.",New York,
71,People Analytics Data Scientist,,New York,
72,Data Scientist - Strategic Data Science,"Two Sigma Investments, LLC.",New York,
73,Data Scientist,Underwriters Laboratories Inc.,New York,
74,Data Scientist,ACLU,New York,
75,Statistician & Data Analysis Scientist,Corning,New York,
76,CI Data Scientist,Novelis Inc.,New York,
77,"Internships, Data Strategy/Data Science- Summer 2020",Viacom,New York,
78,Data Scientist,Gensler,New York,
79,Global Data Scientist,,New York,
80,2020 PhD Data Scientist Internship - Uber Eats (New York),Uber,New York,
81,Sr. Data Scientist,Amazon.com Services LLC,New York,
82,Data Scientist,American Civil Liberties Union,New York,
83,Data Science Internship - Summer 2020,Etsy,New York,
84,Data Scientist,CDPHP,New York,
85,Sr Data Scientist,AETNA,New York,
86,CCB - Quantitative Modeler / Data Scientist - Associate,JP Morgan Chase,New York,
87,"Data Scientist, Junior",Booz Allen Hamilton,New York,
88,CIB data+design - Data Scientist - VP,JP Morgan Chase,New York,
89,Data Scientist - Innovation,Willis Towers Watson,New York,
90,Senior Data Scientist,,New York,
91,CIB - Data Scientist Associate,JP Morgan Chase,New York,
92,Data Scientist,,New York,
93,Bus. Intel. Analyst / Data Scientist,World Education Services,New York,
94,Audience Data Analyst,Dow Jones,New York,
95,"Analyst/Associate- Data Scientist, Predictive Analytics & Pr...",Bank of America,New York,
96,Data Scientist,The New York Times,New York,
97,Data Scientist,Altice USA,New York,
98,"Data Scientist, Business Analytics",Spotify,New York,
99,Intern - Data Science (part-time),McKinsey & Company,New York,
100,Data Scientist,DataDog,New York,
101,Associate Research Scholar (Data) Brown Institute,Columbia University,New York,
102,Data Scientist - Cross Asset Desk Strategist Team,Morgan Stanley,New York,
103,Data Scientist,GameChanger,New York,
104,Data Scientist,Wolters Kluwer,New York,
105,Data Scientist,The Powerline Group,New York,
106,Sr. Data Scientist,Amazon.com Services LLC,New York,
107,Lead Data Scientist,AETNA,New York,
108,Statistical Database Marketing Analyst,FULLBEAUTY Brands,New York,
109,Data Scientist Intern,Asset Control,New York,
110,Small Business Lending Data Scientist,Credibly,New York,
111,Data Scientist,IFG Companies,New York,
112,Data Scientist / ML Engineer,PA Consulting Group,New York,
113,Data Scientist - Bomoda,Weber Shandwick,New York,
114,Distinguished Data Scientist,Verizon,New York,
115,"Data Scientist, Sales Analytics",Slice,New York,
116,Data Scientist - Demand Forecasting,Amazon.com Services LLC,New York,
117,Data Scientist,,New York,
118,Data Scientist,TMP WORLDWIDE,New York,
119,Data Scientist - Journey Analytics,McKinsey & Company,New York,
120,Senior Data Scientist,QBE,New York,
121,Senior Data Scientist,Disney Streaming Services,New York,
122,Data Scientist,,New York,
123,Data Scientist,,New York,
124,"Data Scientist, Analytics - Instagram ML",Facebook,New York,
125,"Associate Computational Scientist, Human Immune Monitoring C...",Mount Sinai,New York,
126,Data Scientist - Ingenuity,McKinsey & Company,New York,
127,Data Scientist,New York City DEPARTMENT OF INVESTIGATION,New York,"$53,956 - $66,388 a year"
128,Data Scientist – Pharmacy Analytics (Machine Learning),Cigna,New York,
129,Machine Learning Engineer,,New York,
130,Data Scientist - Investment Research,"Two Sigma Investments, LLC.",New York,
131,Data Scientist,Strategic Financial Solutions,New York,
132,Senior Data Scientist - Nationwide Opportunities,"Amazon Web Services, Inc.",New York,
133,Data Scientist -Quality Operations & Data Analytics-Corporat...,Mount Sinai,New York,
134,"Data Scientist, Marketing Analytics",Slice,New York,
135,CIMD - Marcus by Goldman Sachs - Decision and Data Scientist,Goldman Sachs,New York,
136,Special Assistant (working title: Research Data Officer 1 –...,,New York,"$60,000 - $68,000 a year"
137,Data Scientist,,New York,
138,Senior Data Scientist - Equinox Fitness,EQUINOX,New York,
139,Sr Data Scientist,GE Renewable Energy,New York,
140,"Senior Associate, Data Scientist",New York Life Insurance Co,New York,
141,Senior Data Scientist,,New York,
142,Sr. Data Scientist - Advertising Technology,Amazon.com Services LLC,New York,
143,Principal Data Scientist – Premium,Spotify,New York,
144,"Data Scientist, CCM",Simons Foundation,New York,
145,Data Scientist - Stellar Astrophysics,Simons Foundation,New York,
146,"Data Scientist (BCMA), VP",CITI,New York,
147,Senior Data Scientist,Viacom,New York,
148,Data Analyst/Data Scientist (2020 Start) - Analytics - Multi...,Charles River Associates,New York,
149,Senior Data Scientist,Everytown for Gun Safety,New York,
150,"Senior Manager, Data Scientist",1-800-Flowers,New York,
151,Lead Data Scientist,JetBlue Airways Corporation,New York,
152,Data Scientist - Security Engineer,"Two Sigma Investments, LLC.",New York,
153,"Data Scientist, Recommendation and Ranking (NY)",Etsy,New York,
154,"Principal Associate, Data Scientist",Capital One - US,New York,
155,Data Scientist (PhD Required),Madison Logic,New York,
156,Sr. Business Intelligence / Data Scientist,World Education Services,New York,
157,"Sr. Data Scientist, Chief Analytics Office",IBM,New York,
158,Product Data Scientist,Snapchat,New York,
159,Senior Data Scientist - Threat Intelligence Researcher,Verizon,New York,
160,"Data Scientist, Senior",Booz Allen Hamilton,New York,
161,Associate - Equity Research / Data Analytics,Truist Financial,New York,
162,Data Science Intern,,New York,
163,Data Science Engineer,TDG,New York,
164,Data Scientist/Lead Data Scientist - NY,,New York,
165,"Data Scientist, Infrastructure",Facebook,New York,
166,Data Analyst,,New York,
167,Data Scientist,INFICON,New York,
168,Data Scientist,Thermo Fisher Scientific,New York,
169,Sr. Data Scientist,"Marsh & McLennan Companies, Inc.",New York,
170,"Data Scientist Enterprise Measurements, Analytics and Report...",Girl Scouts of the USA,New York,
171,Senior Data Analyst,Capgemini,New York,
172,"Senior Data Scientist, Analytics & Inference",Codecademy,New York,
